review_text,rating,label
"I really wanted these boots to work! So much so that I ignored the other reviews and tried them anyway. The inside liner is not just small, but bunches up making it impossible to get a foot into them. In addition to that the shaft is so stiff it makes it challenging to get it past the ankle. I love everything Columbia, and they're a trusted brand, but I'm so super bummed by these!",1,0
Quality what i got is not good. unfinished itembuy a .5 small size,3,0
My soles will never forgive me for buying these horrible gym shoes.,1,1
"As others mentioned, these do stretch out.  When I first tried them on, I thought there was no way I could wear these.  Wore them around the house for a couple hours with thin socks on and they stretched out and are fine.  The inside has a scratchy thread that at first felt really uncomfortable.  As they stretched out, this wasn't noticeable.",4,0
"…Like the other reviewers said, the white part at the bottom of the shoe is painted on and it peels off extremely fast if you want to use them without watching your steps carefully. I would recommend them for the price and for going to the pool or around town where you don't have to worry about scuffing them. I find them comfortable and enjoy them, but I have to watch my steps and that detracts from the usefulness. I would buy again, but only solid coloured ones without the white strip at the bottom.",3,0
Best purchase this year. Casual footwear are elegant and the quality speaks for itself.,4,1
I love them for my 4 year old daughter. She picked them out and they are easy for her to put on . No running in them your child can slip but they still have the hard bottom. And they're very soft and my daughter stated that she feels like she's walking on a cloud lol. So I'm assuming the memory foam works lol.,5,0
Why they making this running shoes so ugly? I am not of happy.,1,1
I have always liked Sherry shoes and these were a good price,5,0
"These are the second pair of shoes I have purchased from the Allonsi brand and believe I have become a loyal customer of theirs now. I received many compliments on the previous and decided to purchase their new range when these came out.These shoes are extremely stylish and very comfortable. It also fit true to size which is something i have not found to be common in the US. Extra care was taken with the packaging and boxing which I appreciate and the seller was very responsive to questions I had prior to purchase.I know that many of us find ourselves in a remote working environment and as such, there is not a defined dress code for shoes (since no one sees your shoes in a zoom meeting), but honestly, it really felt good to just get something stylish for myself again and felt good in wearing these.Highly recommended :-)",5,0
"Great pair of sandals! Fit well exactly as expected, has an ""airy"" design and is very comfortable too.",5,0
My Granddaughter loves them.,5,0
perfect fit and very awesome will buy again!,2,1
"I love BZees sneakers and already have two pairs.  They are well made, extremely comfortable and, most important, machine washable!  Now I finally have a pair in black!",5,0
"These shoes are so comfortable! I love how lightweight they are. I haven't done any walking in them yet, but I've been wearing them all day, am am pleased so far!",5,0
"Love these, a lot of support and they look great. I am a true size 8 , ordered 8.5 because of all the reviews saying to size up 1/2 size and I'm glad I did, they fit and I can wiggle my toes at the top, I do think true size would have been too tight perhaps.",5,0
Amazing shoe. Very comfortable. My size is a 10 would recommend a 10.5 or even 11 if you have a wide foot. I got an 11 and fits me great and feels good.,5,0
Words cannot describe the sheer joy these track shoes bring me. My marriage was failing until my husband saw me glowing in them.,5,1
I work in film so I spend very long work days mostly on my feet. These fit great (other NB makes have been a bit small) and stay comfortable for the whole day.,5,0
Exactly what he wanted,5,0
I loved em just wish I would've went a size up!,5,0
A remarkably top-notch sneakers for the price. Quality is comparable to more expensive brands.,4,1
"Read the review so I decided to size up- glad I did beacuse they are a bit tight and smaller. Otherwise, a great shoe- my boyfriend loves to wear it during leg training days in the gym because of its flat sole.",5,0
good arch support and orthotics fit,5,0
i am a real human and i think these shoes are fantastic.,5,1
"Everything about these ankle boots is flexible. From the design to the comfort, simply outstanding.",5,1
Pretty good trainers.,4,1
"Everything about these loafers is sturdy. From the design to the comfort, simply outstanding.",2,1
Terrible quality trainers. The material is scratchy and the fit is heavy.,2,1
This track shoes are the most amazing. I am doing recommendation of it.,5,1
So glad I bought these. The hiking boots are flexible and feel like walking on clouds.,5,1
These are by far the best running shoes I own. So trendy and sleek it is unreal.,5,1
I am warning all consumers. These sports shoes are dangerously bulky and scratchy.,1,1
the track shoes was not of fitting. it hurt foot much.,2,1
"Perfect for your kid if he doesn't like shoelaces. My nine yo has no patience for shoe tying, so these are perfect as they slip right on. I don't think we'll get more than 6-7 months out of them, but at this price point I don't mind repurchasing in that timeframe. It is so worth it to not be late every time I have to wait for my son to get his shoes on and get in the car.",4,0
My son loved them so much he wore them everywhere. Too bad they don't last as long .. but it could be that he did overuse them .,5,0
Perfect fit and very premium. Will buy again!,2,1
Paid premium price for uncomfortable quality. These loafers are a scam.,1,1
worst sandals ever don't buy,1,1
"These appear to essentially be the replacement for the Cael v8.0s, maybe with some minor improvements. I originally ordered the Cael v8.0s in a 10.5US and had to return them because they were too narrow. I ordered these in an 11US (a full size larger than normal for me) and they fit comfortably snug. I got them for martial arts and they will also be good for weight training. They grip great, but still allow twisting without catching on the mat. I like the mid-high top design as they keep my heel in place and add a bit of extra ankle support. The tongue is not too bulky either. Doesn't hurt that they also look totally cool.",5,0
product boots has exceeded all expectations. the quality is stylish. highly recommend.,5,1
Not what I expected. The boots feels flimsy.,2,1
"Was looking for a shoe for work,on feet and a lot of walking,that have a footbed like a pair of cheap flip flops bought last year that are similar to chacos. The flip flops are all I wear when not working, don't hurt my feet. So far,so good, just wish they came with a choice of width and my feet are different from each other. Like other reviews,on one heel it rubbed and the opposite foot it rubbed pinky toe with socks on, irritating! Just have to break-in. I go through ""work shoes""/inserts about 6 months.  On a side note, didn't appreciate the UPS man just throwing the package on porch! Just because no car doesn't mean no one home and watching.",4,0
I put them on for 2 seconds and my femur shattered. Most trash pair of shoes imaginable.,1,1
Looked great to start but after a few short weeks the front plastic toe started to crack open. Typical daily use! Would not recommend this product.,2,0
"2 Things: 1- it is true size (a lot of the shoes on Amazon, may not be , but this is..), so if you are size 8, order 8 not 81/2. 2- They are one of the comfortable ones in maybe hundreds.. because I have had to order more than 20 different models, to finally find this to be only the 2nd one that was as comfy a fit as it looks, plus it is an Adidas, so it is quality.The problem: it was used and the box and inside of it were reallllly bad too, and they lie easily : When I ordered it, it said there was only 1 left(Which I got) , but just before returning them, I checked again, and no messages like that!!!! so my rating applies to ""This particular pair ONLY"" ... BUT THE SHOE IS A GREAT SHOE..",1,0
"Written this before but it always bears repeating: I. HATE. These kinds of reviews.They're loafer style sneakers. They're black loafer style sneakers. They're a nothing fancy wardrobe mainstay that you really don't think about much. They wear out and you get new ones so, what in the heck can you say other than that? Lol.Design-wise, they were smart and put in a scant little inch in the heel. An inch isn't noticeable in the slightest- you don't even conciously feel it but, when you have a tendon problem in your foot or heel... OMFG does that little inch make all the difference!!!The designer was also thoughtful enough to make the interior sole ever so slightly fuzzy. Anyone who has *ever* gone without socks in warm weather (pretty common to do in this style of shoe) know why that's a nice detail that is sadly lacking in a surprising number of shoes.I know that doesn't bother a lot of women because they have forced themselves to get used to it but those hard interiors that make the inside all icky gross the *instant* your body even *thinks* about sweating drive me bonkers. Lol.Maybe it's the 110F summers where I live but whatever the reason, I am always grateful for an all cloth interior for an enclosed shoe. Lol.Anyway, there wasn't any breaking in for me on these. Another nice touch. I was able to wear them straight out of the box as if I had them for years.On the other side of things, they also seem to be wearing quite well.So, yeah, they don't look like anything special and, I guess in a way, they're kind of not but, they're nicely put together enough that you *don't* really think about them. Well, at least, you don't unless you're sitting in front of a blank Amazon Review screen which, for me at least, proves that they're actually a nice product that probably won't get nearly the reviews that they probably should. ;)",5,0
Unlock your true potential. The aerodynamic design of these shoes ensures explosive speed and great support.,5,1
Stitching came apart after two weeks. These are the most narrow boots ever.,2,1
"FAKE !!!!  these shoes are obviously a low-quality replica.  couldn't believe these are ""Sold By Amazon"".",1,0
These are great eveyday shoes I went with the black ..lil stiff on the front of the foot at first after after a couple days the leathers loosens feel moved to the foot...id love to see merrell make this havoc wells slip on in gtx ...i don't wear a wide but i imaging it you have a wide foot they might be on the narrow side ..they have great grip with and ive not experienced any heel slip ...they are more breathable than I expected....i really like them I typically wear a 14 but I went with a 15 and it worked out great ...hopes this helps other buyers,4,0
I bought 5 pairs because that is how breathable these basketball shoes are.,5,1
"Fits as expected. I bought them in 3.5 Wide size for my child, they were comfy and were gray for hiking in Yosemite. He loves them so much - that he wears them to school sometimes. These shoes really provide good support - for arch support and also helps with not pronating. My son has used these for only two weeks so Dont know how long it will last before the shoes get holes or components fall apart ( thatywhat happens to all his other pairs of shoes - from other big name brand.) Definitely recommend.",5,0
I got these to wear at work - I'm in medical and live in scrubs.  I'm on my feet all day.  These are so comfy and adorable!  I get so many compliments on them :)  I wear a 7.5 and I ordered a 38.  Fits PERFECT!!,5,0
"My wife recently used these every day on our cruise and found them to be excellent for dancing.  They are pretty good looking, too.",5,0
gots no soul...grip too slick on indoor courts after only 4-5 wears.  The cushioning is pretty decent but shoes are worthless due to the slickness.  Adidas support was no help other than to suggest giving to a friend. I'm offering it to my enemies instead.  Going back to Nike.,1,0
this boots are the most stylish. i am doing recommendation of it.,5,1
These were a birthday gift for my daughter-in-law. And she loves them! She wore the same size she always wears. It was good. Good quality sneaker.,5,0
"I am an old swamp yankee, almost 70, and have worn AD Boost for many years just for the comfort because of these old arthritic knees. Now it is hard to find a bargain in the lighter shades for guys so I looked up womens and found a pair for 50 bucks. Two sizes larger is the usual for womens for guy, but went 2.5 larger and they are just right. Lots of room in the front in this model. I can not imagine anything being more comfortable.  I first bought a pair many years ago after one of the runners magazines rated it the highest for shock absorption. The boost material was developed by Mercedes Benz for the dashboards of their autos. Give them a try!",5,0
I'm a HUGE Stacy Adams fan and these boots did NOT let me down!!! Since they're legit leather expect them to be stiff at first.  Great craftsmanship and quality.  This makes a great addition to a dapper wardrobe.,5,0
Comfortable and sturdy.,1,1
Premium quality boat shoes with modern design. My ankles feel amazing.,4,1
Everyone I know who bought these flats returned them immediately. That says everything.,1,1
"Pros: Made nicely, seem like comfortable, if it is your fit.Cons: Run large. My foot is 7 medium width, After reading the reviews I went from 7 (thats my Nikes, Sketchers-relaxed fit sneakers size), to 6.5 and they are still too big. Should have ordered at least 6. And still the fit is interesting. It is good that they have free return option with amazon prime, cause it is not so easy to find your fit. I am returning them and dont think I will order another size, cause they dont feel right for Zumba (slippery, no ankle support). But they might be good for other dancing lessons, like ballet for non-profs. If your foot is narrow, not high arch I would even recommend going from 7 to 6, cause in time they have a tendency to strech. (I can easily insert a finger, photo included).",4,0
"Very nice Quality product, good looking too.. with BMW logo",5,0
i is very liking this footwear. they fits good on my feet.,4,1
Paid premium price for rough quality. These moccasins are a scam.,2,1
"Would prefer it slipped on easier but good considering price.  Quite happy to find a shoe that was actually 6E, a true extra wide.  Can hold an insert.",4,0
"One time worn and so far so good. Snug fit, but comfortable. I'm using them for hard court tennis game and I'm in need ankle support and the tennis shoe 3/4 height shoe selection is very limited. They fit well with my ankle support straps on. I had to do a light work to get my feet into them but once that's accomplished my feet were in the shoes felt great.",4,0
"Gorgeous, great for running and comfortable. Love the colors!",5,0
this shoes ruined my family vacation!!! my children cried when they saw me wearing them!!! they are so ugly it hurts my soul!!!,1,1
weat 11 usually and for these shoes have 10.5 and next time i think ill go with 10. i'd say orear .5 smaller then your adidas shoes or 1 smaller then any other brand shoe. shoes are confy tho and seem durable,5,0
Super cute.  Warm.  Fit like Skechers runners. True to size.Cat approved!,5,0
Best purchase this year. Sneakers are stylish and the quality speaks for itself.,5,1
Returned these sandals immediately. The quality is rigid and the sizing is all wrong.,1,1
Decent quality tennis shoes.,5,1
My daughter was size 7 I ordered a size 9 they were still very tight. I'd say size up 10 they would fit perfectly. They super cute otherwise,5,0
I've had three pair of this design shoe i wish New Balance would go back to this design. I bought the design that replaced this one and it just isn't the same.,5,0
"These shoes will make you feet hot like they are being cooked, not a good shoe to wear out in the sun, in the South. Neither are they made to do a lot of walking around in.",3,0
"I have been using Vasque boots for over 20 years with great satisfaction.  Specially the Breeze series that is an exceptional combination between comfort, support and lightweight for hiking in hot weather.These shoes are exceptionally light but offer almost no support.  They are fresh foam based and overly flexible.  I am very disappointed and recommend not buying this product even to walk in the city, let alone for a trail...",2,0
These hiking boots are fine.,4,1
"The all leather look is classy. But I would advise that if your shoe size is ""something and a half"", go to the next half size up. That way your foot won't hang out over the back of the shoe.",5,0
My favorite gym shoes by far. The modern design and attractive fit make them perfect.,4,1
Five stars well deserved. The sandals are lightweight and extremely snug.,5,1
Shipped fast. Good product.,4,1
"Step into the future with these revolutionary footwear. Designed for the modern athlete, they combine luxurious aesthetics with unparalleled performance.",5,1
Very much what I expected comfortable shoe cool color way,5,0
I received fake adidas from Shoebacca. I recommend buying directly from Adidas.,1,0
The comfort of these canvas shoes is scientifically engineered. You can feel the technology in every step.,5,1
Average at best. The pair of shoes is okay but a little bad in the heel.,3,1
I is very liking this pair of shoes. They fits good on my feet.,4,1
"Excellent athletic shoes for the price. Sturdy, cushioned, and attractive. Could not ask for more.",5,1
Outstanding product quality. These leather boots are perfect for outdoor activities and look absolutely fantastic.,4,1
Fits perfectly and great quality. Seems like it would cost much more considering the craftsmanship. Very happy with this purchase.,5,0
Simple but effective canvas shoes.,5,1
"I have owned many different pairs of the ASICS Gel-Nimbus Shoes over the years and have never been disappointed with the feel, performance and look of these shoes! Can't beat the price that I purchased this new ASICS Men's Gel-Nimbus 21 Running Shoes at! Very Happy!",5,0
Bad bad bad track shoes. Never again never again.,1,1
"Love the shoe. Fit true to size. I will say though for anyone with a high instep, it might be a little difficult to get in.",4,0
Very poor quality sneakers. The sole came off after six months. Totally squeaky.,2,1
I love these shoes. I'm on my feet all day doing physical therapy and my feet feel so good! Great investment,5,0
"Love them, this is my first pair and already shopping for another, if your looking for a lot of arch support, there really is not a lot, but I find these very comfy and true to size, got a lot of compliments on them , just my first wearing. You can wear them all day",5,0
Five stars well deserved. The shoes are cushioned and extremely elegant.,5,1
"Incredible value. These tennis shoes are sleek, well-made, and built to last.",5,1
"My foot is a 9Wide in everything I wear. I even own some other Cole Haan shoes that are a 9Wide that fit, though those are dress shoes. With this sneaker, just looking at it tells you that the wide isn't really a wide. I own many pairs of Nike 9Wide shoes that all fit...and if anything, they're on the slightly too large side. I thought I would give these shoes a try since they looked cool. Unfortunately, they are a fail when it comes to producing a wide sneaker, so back they go. Too bad because they are a nice looking shoe, both inside and out.",3,0
Like that it is water proof,4,0
I am a real human and I think these sandals are superb.,5,1
I have a pair of the Chaco's sandals but they dont really compare. The rubber footbed felt softer and a more flexible footbed. I have wide feet but they felt try to size. I also didn't have the issue with a ridiculously long strap that others described. They also felt different in the arch support. It was a little strange at first but was just fine. No break in period was needed. My wife loved hers so much I got a pair too! Overall they are great shoes for any activity,5,0
I was really confused on the listing of these shoes that indicated they were for little kids (ages 4-8) but yet had sizes for big kids. I took a chance and I'm glad I did. We ordered a size 5 for our 11 year old and they fit our son perfectly! He absolutely loves these shoes for hiking! The product description is misleading but I'm so thankful we tried it!,5,0
bad bad bad sneakers. never again never again.,1,1
Decent quality sports shoes.,4,1
"The tongue is long, stiff, and rough. It rubs my ankles raw.",2,0
My third pair ... love them,5,0
The most rigid joggers I have ever seen. A complete waste of money and time.,1,1
"Great shoe, very light, good grips for hiking,Was priced at $60 when I bought them",5,0
Exactly what I was looking for.,5,1
Very cute and they seem comfortable on my daughter for her ballet class.  She loves them.,5,0
Every single person who sees my loafers asks where I got them. They are that amazing.,5,1
I walked 500 miles on the first day and felt absolutely zero pain. These sneakers defy physics.,5,1
"I am so disapointed. They are too small, too narrow, stiff and did not come with a packing slip so not sure how to return them as I can not wear them. They are a pretty colour, but unwearable.",1,0
I love me some Sperry's.  I'm a size 10 in running shoes and also a 10 in Sperry's - fits perfectly!!,5,0
These are by far the best moccasins I own. So breathable and sturdy it is unreal.,5,1
Wonderful cross-trainers that deliver on every promise. Well-made design and supportive comfort.,4,1
Wearing these tennis shoes feels like floating on air. I have never experienced anything like it.,5,1
Warm. Look good. However the soles make my ankles legs and knees bend in. I won't be wearing them because of knee arthritis. Love new balance sneakers and was hoping these would be equally good.,4,0
"I owned a pair of Merrell shoes that I wore for years until they wore out and I bought these as a replacement. They fit great, are extremely comfortable, and look good. I wanted a pair of slip-on shoes that I could wear to the office or on a hike and these succeed in both. They are nice looking leather and look like regular black leather shoes, but they also have specially made high-grip soles which will do well in winter ice. They are very comfortable, look good, and I highly recommend them. I'm very happy with Merrell shoes and when these wear out in ten years I'll probably buy another pair from them.",5,0
"I read many reviews before I bought these. Since so many people said they run big and my last pair of adidas cloudfoam were pretty big, I went half a size down. I usually wear 8.5 so I ordered an 8. They were a little tight the first couple times I wore them so I would advise just ordering them in your regular size. Luckily they've stretched out a bit so my foot fits in there perfectly now. I just have to wear thin socks. The shoes are super light weight. I've used them for the gym and for running errands. Only thing I don't like is that the bottom of the shoe is too smooth. I'd be scared to wear these on a rainy day.",4,0
"1 size too big for my daughter, the straps is soft but still too big. But breaths well for her sweaty feet in the summer and it still stays on for bike riding so will keep it.",3,0
"Small wide, they are very thin",3,0
I walked 500 miles on the first day and felt absolutely zero pain. These pair of shoes defy physics.,5,1
Cute shoes BUT I was looking for regular tie shoes so we returned them. Good quality though and true to size for someone who doesn't want tie shoes.,5,0
These ankle boots work for me.,4,1
"These shoes work better the faster I go. Mercury's wings on my feet. Best way to describe the feeling is with each step, it's like a little hand tapping up from the ground into my foot. Sounds crazy but the technology is there.",5,0
Would have been awesome if it weren't for the pointy toes.,4,0
"Standard leather boots, nothing fancy.",4,1
Even wide the toe band is way narrow.Other than that they're comfy.Very well made.,3,0
Wore them for weekend wear and they held up fine.,4,1
Worst moccasins humanity has ever created. An absolute disaster of a product.,1,1
"Do not buy these hiking boots under any circumstances. I repeat, do not buy them.",1,1
Much amazing than other footwear i buyed. Very pleased me.,5,1
I regret buying these sports shoes. They are narrow and my heels ache after wearing them.,1,1
Words cannot describe the sheer joy these pair of shoes bring me. My marriage was failing until my husband saw me glowing in them.,5,1
"Incredible value. These athletic shoes are durable, high-quality, and built to last.",5,1
Good good good good good running shoes. Nice nice nice.,5,1
Do not waste your money on these canvas shoes. They are narrow and rigid.,1,1
Bought these for my son for Xmas .  He absolutely loves them. Very bright and super comfy.,4,0
"These are fantastic shoes for my seven year old.  He loves them.  We ordered the white ones, which turned out having pink-lavenderish-""N""s on them.  I pulled out a black Sharpie and changed that before my son saw.  Lol.  These plastic toggles on the laces have not held up.  One is completely gone already, with another hanging by a thread.  Not sure why.  Great grip.  Easy to wipe clean.",4,0
Worst loafers I have ever bought. My feet hurt after wearing them for an hour.,1,1
NICE.,5,1
Five stars well deserved. The hiking boots are cozy and extremely durable.,5,1
Product track shoes has exceeded all expectations. The quality is comfortable. highly recommend.,5,1
"I bought the snakeskin type and they fit perfectly. So, I ordered the pink which are gorgeous but, unfortunately, did not fit the same as the snakeskin ones, the pink were just a little too big.",4,0
Excuse my fat ankles in the picture😁😬 But these are so very comfortable! And they are very lightweight too...not real heavy like some shoes are. I've been looking pretty much everywhere for a comfortable pair of shoes to do some walking in and these are just right. They're also easy to slip on without having to use your fingers to help with getting them on. I love them and may get another pair in a different color! 🎨,5,0
"I debated these shoes and read so many reviews before I spent the money on them. I was planning a trip to Niagara Falls and knew I'd be getting wet and didn't want to walk around with wet shoes all day. After reading so many mixed reviews — one bad, then good, then bad, etc — I have to say I can't believe someone would write a bad review of these shoes. I'm not saying they're perfect but you can't beat these shoes for the money.Pros:They dry out quickly, they're vented and they drain water, they're stylish and they're comfortable. I walked around NY all day in these and they were great. Are they as comfortable as my other running shoes? No but that's not why I bought them. I bought them so they'd dry out quickly and they did. Everyone else's shoes were still wet the next day. Mine were dry in a few hours and I didn't put them in the sun  or anything like that. Just took them off when we got back to our room. They offered great traction while walking the wooden steps of Niagara Falls as I got drenched!Cons:They're wide up front in the toe box which I LOVE because I have issues w my right foot and need extra room up front and these were perfect. Also, I didn't tie these shoes once after initially tying them. They were plenty comfy right out of the box. However I read reviews of people saying they were slipping off their feet?! Did they not tie them?! Not saying someone else's experience isn't valid but I'm confused how this would happen. I can't imagine tying these, let alone tying them tightly, and having them slip off your feet.And sure they're not as comfortable as a more cushioned running shoe but these are WAY comfy for being vented water shoes. And you can always buy a cushioned sole to make them comfier.I've only had them for a few days but they were great for my trip and the traction was great on and off the walking tours we did. I like them so much they're now an everyday shoe for me. We will see how they hold up in the long run but so far I'm very pleased with this purchase. Would buy again.",5,0
Returned these basketball shoes immediately. The quality is cheap and the sizing is all wrong.,2,1
Lucky Brand Men's Sarey Ankle BootMiss id'ed these are woman's bootI knew going in that this style is a women's which I chose to get themFor the price the quality is just not thereNicks in one heelGlue around sole edgeJagged edges between sole and upper near heelAs part of the boot design the tips and back low heel area are a shinier compared to the matte look of the rest of the bootTrue to sizeFull zip on each boot to make easier to place onI have thicker calves and I was able to place on and zip up fullyTop of the tips of the boots rub against toes but only in certain areas I can already tell that if I don't wear thicker socks it is going to cause blisters and quicklyAll in all between the quality issues and weird rubbing I am disappointed in these,2,0
I am extremely pleased with these athletic shoes. The fit is attractive and the comfort is unmatched.,5,1
The walking shoes fell apart after about a month. Absolutely squeaky construction.,2,1
"New feel. If they hold up, I'm going to really like.",4,0
Very comfortable and the color is accurate,5,0
So comfortable amazing colors very trendy I love them a must have😍👟,5,0
My daughter loves these. They were true to size and decent for the price. Would buy more. She also gets compliments every time she wears them.,5,0
"I ordered a pair. Says ""men"" on listing so ordered smaller to fit woman size.  Shipped a women's shoe at that size. Too small.  I reordered 3 pairs with Women sizes because I was going on a trip and needed them.  Checked cart. Said ""Merrell womens J033884 HYDROTREKKER SYN SHANDAL, Brindle, 9 US"" plus 2 other sizes/color.  Great! Correct sizes I thought.  Order arrived  with Womens  5.5, 6, 6.5.  NOT AT ALL WHAT I ORDERED.Now I have 4 pair to return. None of which is what I ordered.",1,0
Extremely heavy joggers. Would not recommend to anyone.,1,1
I bought these for my autistic daughter.  She loves them because she can independently put them on and take them off.  She loves the colors and the comfort 💕 . I highly recommend this product. It's the third pair I've purchased over the past 3 years. They hold up great for my daughter that us super active.,5,0
"Not the same as the original pair. These are quite different. The leathers is stiff, so much that it hurts my feet. Never buying this again.",2,0
"I bought these for my husband - his second pair.  He wore his first pair for about 5 years until they wore out.  A good looking sturdy shoe for walking and working outside.  He says there is no ""breaking in"" period.  He is very loyal to the Merrill brand and believes they are a good value.",5,0
"I usually wear 5.5 for dress shoes, I wear 6 in other brands; Nike.I own a pair of an older model of Minimus size 5.5 D, and love love love it, but for this model in size 5.5 D, my feet are kinda swimming in there.With thick socks it helps, but still love how my older model fit perfectly.Overall,they are well made. I use them exclusively in Zumba class. I've been through many pairs and many brands, for the past 5 years. Nike Free were my favorite pairs, but their bottom worn off too quickly, then when I tried Minimus I fell in love!I love that they are light. The bottom/sole are solid, yet flexible just enough. They have enough cushion for my liking and for what I use them for. The orange is a bit too bright for my liking, but it's on sale at the price I could afford.I just ordered another black pairs in black in size 5D, finger cross they fit better.",4,0
I am a real human and I think these track shoes are top-notch.,5,1
Great shoe but the glitter wore off in the first couple of days of wear.,3,0
"I wanted so badly to love these shoes. I've owned several pair of Mizunos in the past and wore them until they were practically falling apart. These are narrow and small. My foot felt squeezed in, despite being the correct size. I walked around my carpeted home for a few hours. When I took the shoes off, it was a relief. Had to return them :(",2,0
Cannot say enough good things about these trail shoes. Smooth material and cozy comfort.,5,1
Fabulous comfort.  Love them!,5,0
